"","Column","X","Reference.Number","Easting","Northing","Number.of.Vehicles","Number.of.Casualties","Accident.Date","Time..24hr.","X1st.Road.Class","Road.Surface","Lighting.Conditions","Weather.Conditions","Casualty.Class","Casualty.Severity","Sex.of.Casualty","Age.of.Casualty","Type.of.Vehicle","Latitude","Longitude"
"1091",14851,14851,"564109",431906,435743,2,1,"14-Jul-09",1308,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",41,"Bicycle",53.8167747473,-1.51533076765
"1106",14870,14870,"572209",427599,436800,2,1,"04-Jun-09",740,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",39,"Bicycle",53.8265223332,-1.58065946965
"1112",14879,14879,"574709",428060,435959,2,1,"02-Jul-09",1605,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",45,"Bicycle",53.8189381272,-1.57373196197
"1121",14888,14888,"577709",426379,435438,2,1,"16-Jul-09",740,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",31,"Bicycle",53.8143430014,-1.59931251113
"1137",14913,14913,"583009",422131,433789,2,1,"20-Jul-09",1930,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",11,"Bicycle",53.799718573,-1.66395531566
"1139",14915,14915,"584709",441092,448810,2,1,"17-Jul-09",810,4,"Wet / Damp","Daylight: street lights present","Raining without high winds","Driver or rider","Slight","Male",25,"Bicycle",53.9335807619,-1.37404707696
"1141",14918,14918,"585509",435051,434948,2,1,"10-Jul-09",1700,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",41,"Bicycle",53.8094262803,-1.46764926176
"1150",14936,14936,"587209",428083,433566,2,1,"15-Jul-09",1630,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",37,"Bicycle",53.7974268101,-1.57360090781
"1153",14939,14939,"588609",430551,433449,2,1,"18-Jul-09",2225,6,"Dry","Darkness: street lighting unknown","Fine without high winds","Driver or rider","Slight","Male",18,"Bicycle",53.7962360515,-1.53614085707
"1159",14948,14948,"589909",430691,425704,2,1,"22-Jul-09",1630,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",11,"Bicycle",53.7266097803,-1.53478539452
