"","Column","X","Reference.Number","Easting","Northing","Number.of.Vehicles","Number.of.Casualties","Accident.Date","Time..24hr.","X1st.Road.Class","Road.Surface","Lighting.Conditions","Weather.Conditions","Casualty.Class","Casualty.Severity","Sex.of.Casualty","Age.of.Casualty","Type.of.Vehicle","Latitude","Longitude"
"3523",4540,4540,"110328172",432058,435962,2,1,"18-Jul-11",905,6,"Wet / Damp","Daylight: street lights present","Raining without high winds","Driver or rider","Slight","Male",36,"Bicycle",53.8187339126,-1.51299907511
"3535",4561,4561,"110331404",429837,431468,2,1,"20-Jul-11",15,6,"Dry","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Slight","Male",17,"Bicycle",53.7784707796,-1.54717301121
"3537",4563,4563,"110331625",426145,435591,2,1,"19-Jul-11",840,4,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",24,"Bicycle",53.8157301031,-1.60285379057
"3546",4577,4577,"110334062",430053,434023,2,1,"20-Jul-11",1905,6,"Wet / Damp","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",28,"Bicycle",53.8014245858,-1.54364576535
"3552",4586,4586,"110334815",431648,438836,2,1,"21-Jul-11",1005,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",14,"Bicycle",53.8445924026,-1.51893131443
"3553",4587,4587,"110335529",429572,434813,2,1,"22-Jul-11",855,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",23,"Bicycle",53.8085532473,-1.55087360615
"3573",4622,4622,"110342737",420550,444945,2,1,"26-Jul-11",1325,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",25,"Bicycle",53.9000624993,-1.68721463902
"3586",4639,4639,"110346652",429599,433637,2,1,"25-Jul-11",1050,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Female",52,"Bicycle",53.7979809667,-1.55057661182
"3591",4645,4645,"110348590",431008,438422,2,1,"29-Jul-11",1905,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",45,"Bicycle",53.840909711,-1.52870112835
"3600",4657,4657,"110351170",423522,434602,2,1,"31-Jul-11",1417,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",51,"Bicycle",53.8069654541,-1.64277222182
"3606",4663,4663,"110352966",430839,433998,2,1,"01-Aug-11",1615,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",36,"Bicycle",53.8011538624,-1.5317133075
"3607",4664,4664,"110353211",427646,431151,2,1,"01-Aug-11",800,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Female",32,"Bicycle",53.775742291,-1.58045254442
"3608",4665,4665,"110353923",433595,434935,2,1,"01-Aug-11",2000,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",48,"Bicycle",53.8094055298,-1.48976326213
"3610",4667,4667,"110354682",436282,436530,2,1,"02-Aug-11",1525,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",11,"Bicycle",53.8235617656,-1.44876733158
"3611",4668,4668,"110355064",430898,426836,2,1,"02-Aug-11",1420,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",4,"Bicycle",53.7367728942,-1.5315346883
"3613",4670,4670,"110355662",427232,434726,2,1,"03-Aug-11",840,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Female",26,"Bicycle",53.8078990269,-1.58641911992
"3626",4690,4690,"110360486",432162,436143,2,1,"05-Aug-11",2115,6,"Dry","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Slight","Male",57,"Bicycle",53.8203544349,-1.51140032294
"3631",4695,4695,"110361127",428467,436850,2,1,"05-Aug-11",1625,4,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",22,"Bicycle",53.8269249474,-1.56746681417
"3646",4718,4718,"110365367",427509,437677,1,1,"09-Aug-11",925,6,"Dry","Daylight: street lights present","Fine without high winds","Pedestrian","Slight","Male",51,"Bicycle",53.8344102166,-1.58194840705
"3647",4719,4719,"110365381",432663,436926,2,1,"09-Aug-11",800,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",38,"Bicycle",53.8273612978,-1.50370635781
"3650",4722,4722,"110366393",428532,428182,2,1,"09-Aug-11",1750,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",35,"Bicycle",53.749006715,-1.56728174862
"3653",4727,4727,"110366577",433330,434049,2,1,"09-Aug-11",1928,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",50,"Bicycle",53.8014586377,-1.4938838013
"3669",4747,4747,"110371675",430071,433366,2,1,"11-Aug-11",1940,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Female",43,"Bicycle",53.7955179521,-1.54343659512
"3671",4749,4749,"110372406",420327,434223,2,1,"12-Aug-11",1300,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",37,"Bicycle",53.8036933663,-1.69131876185
"3693",4776,4776,"110379590",430642,434701,2,1,"17-Aug-11",1941,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",25,"Bicycle",53.8074845655,-1.53463465159
"3697",4783,4783,"110382066",432537,429642,2,1,"19-Aug-11",940,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",26,"Bicycle",53.7618956297,-1.50639012886
"3698",4784,4784,"110382313",429437,433457,2,1,"18-Aug-11",1700,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",32,"Bicycle",53.7963721854,-1.55305349775
"3700",4786,4786,"110382630",427997,436010,2,1,"18-Aug-11",1930,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",37,"Bicycle",53.8193999494,-1.57468434313
"3711",4799,4799,"110386048",423986,430285,4,1,"21-Aug-11",1235,4,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",52,"Bicycle",53.7681394077,-1.63606162413
"3716",4805,4805,"110389056",431980,435833,2,1,"22-Aug-11",1630,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Female",50,"Bicycle",53.8175791799,-1.51419735639
"3720",4812,4812,"110389860",427124,429465,2,1,"24-Aug-11",815,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",40,"Bicycle",53.7606145868,-1.58852225162
"3735",4834,4834,"110393500",427938,435724,2,1,"25-Aug-11",1730,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",26,"Bicycle",53.8168323453,-1.57560658812
"3753",4864,4864,"110399660",418304,441337,2,1,"30-Aug-11",1730,3,"Wet / Damp","Daylight: street lights present","Raining without high winds","Driver or rider","Slight","Male",55,"Bicycle",53.8677151749,-1.72161540138
"3760",4873,4873,"110403823",436066,435552,2,1,"02-Sep-11",818,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",40,"Bicycle",53.8147859776,-1.45216352816
"3761",4874,4874,"110403861",420070,440804,2,1,"02-Sep-11",837,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",27,"Bicycle",53.8628588538,-1.69479167412
"3767",4882,4882,"110405793",426766,428987,2,1,"01-Sep-11",1700,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Female",31,"Bicycle",53.7563364354,-1.59399449108
"3768",4883,4883,"110405832",428138,435846,2,1,"02-Sep-11",1520,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Female",35,"Bicycle",53.8179181843,-1.572557413
"3772",4888,4888,"110407501",430088,431265,2,1,"04-Sep-11",1635,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Male",45,"Bicycle",53.7766316157,-1.54338360114
"3775",4893,4893,"110407889",427102,427876,2,1,"04-Sep-11",2100,6,"Dry","Darkness: street lighting unknown","Fine without high winds","Driver or rider","Slight","Male",13,"Bicycle",53.7463324517,-1.5889954411
"3777",4895,4895,"110408210",431001,430596,2,1,"05-Sep-11",500,6,"Wet / Damp","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Serious","Male",48,"Bicycle",53.7705645806,-1.52959563287
"3778",4896,4896,"110408868",432666,436873,2,1,"12-Aug-11",2030,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Female",24,"Bicycle",53.8268847117,-1.50366640784
"3787",4907,4907,"110413924",431555,435180,2,1,"06-Sep-11",1900,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",14,"Bicycle",53.8117355472,-1.52072017849
"3800",4922,4922,"110417192",423014,437653,2,1,"10-Sep-11",1225,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",33,"Bicycle",53.8344130463,-1.65025874246
"3802",4924,4924,"110417586",429171,430832,2,1,"10-Sep-11",1720,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",6,"Bicycle",53.772791661,-1.55734051067
"3803",4925,4925,"110417669",436587,435029,2,1,"10-Sep-11",1345,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",44,"Bicycle",53.8100485541,-1.44431221639
"3818",4946,4946,"110422477",421081,436755,2,1,"13-Sep-11",1747,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Male",50,"Bicycle",53.8264231128,-1.67969539154
"3823",4953,4953,"110425223",427954,425420,2,1,"15-Sep-11",845,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",42,"Bicycle",53.7242108094,-1.5762972335
"3824",4954,4954,"110425782",429147,431735,2,1,"15-Sep-11",1610,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",19,"Bicycle",53.7809098704,-1.55761934125
"3830",4962,4962,"110427352",424716,434436,2,1,"15-Sep-11",1615,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",30,"Bicycle",53.8054179374,-1.62465273269
"3853",4992,4992,"110430725",431888,430491,2,1,"17-Sep-11",1730,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",30,"Bicycle",53.7695672037,-1.51614780657
"3855",4994,4994,"110431042",427524,427594,2,1,"19-Sep-11",840,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",42,"Bicycle",53.7437754807,-1.58262107552
"3864",5010,5010,"110434123",438075,430131,2,1,"21-Sep-11",850,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Female",73,"Bicycle",53.765915713,-1.42231868565
"3868",5015,5015,"110435755",436631,436230,2,1,"22-Sep-11",800,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",14,"Bicycle",53.8208407201,-1.44350097977
"3869",5016,5016,"110436007",425474,434284,2,1,"22-Sep-11",822,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Male",49,"Bicycle",53.8040150655,-1.61315429721
"3877",5025,5025,"110438539",431913,433574,2,1,"23-Sep-11",1825,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",23,"Bicycle",53.7972778759,-1.51544930919
"3882",5031,5031,"110439709",443389,437980,2,1,"23-Sep-11",1750,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",53,"Bicycle",53.8360502005,-1.34059319694
"3884",5042,5042,"110441343",431018,430565,2,1,"25-Sep-11",1315,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",9,"Bicycle",53.770284917,-1.52934080398
"3886",5044,5044,"110442010",431172,434986,2,1,"26-Sep-11",730,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",25,"Bicycle",53.8100148438,-1.52655688578
"3897",5062,5062,"110444959",426144,435591,1,1,"27-Sep-11",2009,4,"Dry","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Slight","Male",37,"Bicycle",53.8157301534,-1.60286898031
"3899",5064,5064,"110445249",423068,435883,2,1,"27-Sep-11",1010,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",16,"Bicycle",53.818500472,-1.64957092808
"3909",5076,5076,"110447299",428747,430856,2,1,"29-Sep-11",735,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Female",31,"Bicycle",53.7730309727,-1.56377211541
"3910",5077,5077,"110447730",427997,436013,2,1,"29-Sep-11",1430,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",19,"Bicycle",53.8194269156,-1.57468407006
"3913",5081,5081,"110448054",428588,435663,2,1,"28-Sep-11",1405,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",48,"Bicycle",53.8162486956,-1.56573871204
"3914",5082,5082,"110448064",428225,435779,2,1,"29-Sep-11",1507,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Female",30,"Bicycle",53.8173112229,-1.5712419896
"3922",5093,5093,"110449854",429788,430635,2,1,"29-Sep-11",710,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",49,"Bicycle",53.7709859418,-1.5479970975
"3924",5095,5095,"110449889",429386,425854,2,1,"30-Sep-11",1609,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",30,"Bicycle",53.7280332638,-1.554551679
"3927",5099,5099,"110450694",431767,435530,2,1,"01-Oct-11",1040,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Male",46,"Bicycle",53.8148686734,-1.51746416287
"3930",5105,5105,"110451275",427906,430148,1,1,"01-Oct-11",1555,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Fatal","Male",28,"Bicycle",53.7667126464,-1.5765977135
"3938",5121,5121,"110453348",430009,438648,2,1,"30-Sep-11",930,4,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",23,"Bicycle",53.8429998259,-1.54386257796
"3949",5135,5135,"110456631",422226,433736,2,1,"04-Oct-11",1615,4,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Female",20,"Bicycle",53.7992381133,-1.66251665577
"3950",5136,5136,"110456646",430697,439045,2,1,"04-Oct-11",2020,3,"Dry","Darkness: street lighting unknown","Fine without high winds","Driver or rider","Serious","Male",40,"Bicycle",53.8465281103,-1.53336566051
"3954",5140,5140,"110457455",428097,434717,2,1,"30-Sep-11",845,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Female",22,"Bicycle",53.8077721131,-1.5732833117
"3956",5142,5142,"110457508",427601,436792,2,1,"05-Oct-11",1626,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",20,"Bicycle",53.8264503171,-1.58062980063
"3958",5144,5144,"110457667",428422,432494,2,1,"05-Oct-11",1940,3,"Wet / Damp","Darkness: street lights present and lit","Raining with high winds","Driver or rider","Slight","Male",29,"Bicycle",53.7877724429,-1.56855274662
"3961",5147,5147,"110458637",425484,434282,4,1,"06-Oct-11",1330,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",42,"Bicycle",53.8039965981,-1.61300260754
"3969",5157,5157,"110459496",432516,427321,2,1,"06-Oct-11",1630,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",26,"Bicycle",53.7410340528,-1.50695305699
"3983",5181,5181,"110461906",428367,428733,2,1,"07-Oct-11",1851,6,"Dry","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Slight","Male",32,"Bicycle",53.7539685671,-1.5697334642
